Year-State,Inactive-Female,Inactive-Male,Inactive-Overall,Obese-Female,Obese-Male,Obese-Overall,Diabetic-Female,Diabetic-Male,Diabetic-Overall,Stroke-Female,Stroke-Male,Stroke-Overall,Coronary Disease-Female,Coronary Disease-Male,Coronary Disease-Overall,Heart Attack-Female,Heart Attack-Male,Heart Attack-Overall,Major CV Disease-Female,Major CV Disease-Male,Major CV Disease-Overall,current_overall,current_female,current_male,Never_overall,Never_female,Never_male,Former_overall,Former_female,Former_male
2014-WV,69.9,75.8,72.7,36.9,36.0,36.4,11.8,12.3,12.0,4.5,3.4,4.0,5.7,7.4,6.5,4.8,7.5,11.7,10.9,12.7,11.7,26.7,25.6,27.8,46.6,51.8,41.1,26.8,22.6,31.1
2014-WI,78.3,80.8,79.4,31.1,32.7,31.9,7.5,8.4,7.9,2.7,2.5,2.6,2.0,4.3,3.1,2.1,4.3,6.4,5.2,7.6,6.4,17.4,16.1,18.7,56.3,60.6,51.9,26.3,23.3,29.4
2014-WY,78.4,78.9,78.6,30.0,30.2,30.1,6.5,8.8,7.7,2.6,2.4,2.5,2.3,4.6,3.4,3.0,5.2,6.8,5.8,8.0,6.8,19.5,18.2,20.7,55.9,59.1,52.9,24.6,22.7,26.4
2015-AL,67.5,70.5,68.9,37.5,35.5,36.5,12.3,11.8,12.0,4.4,4.2,4.3,4.3,4.8,4.5,3.5,5.9,9.8,9.0,10.8,9.8,21.4,19.2,23.8,55.7,62.2,48.6,22.9,18.6,27.6
2015-AK,76.9,79.0,78.1,31.2,30.8,31.0,7.6,7.8,7.7,2.1,2.2,2.2,2.5,3.3,2.9,2.4,3.5,6.0,5.5,6.5,6.0,19.1,18.5,19.6,54.1,56.9,51.6,26.8,24.6,28.8
2015-AZ,75.2,76.0,75.5,28.2,30.6,29.5,9.1,9.0,9.1,2.4,2.7,2.5,2.4,4.3,3.3,2.5,5.1,6.9,5.4,8.5,6.9,14.0,12.0,16.2,60.9,67.1,54.5,25.0,20.9,29.3
2015-AR,63.1,70.1,66.6,34.6,36.1,35.4,12.4,10.2,11.3,4.2,2.4,3.3,4.6,5.1,4.8,3.8,5.7,9.3,9.3,9.3,9.3,24.9,22.1,27.8,51.1,57.5,44.3,24.1,20.4,27.9
2015-CA,79.9,80.4,80.1,24.5,25.3,24.9,8.5,10.7,9.6,2.1,2.3,2.2,2.6,3.5,3.0,2.1,3.6,6.0,5.5,6.7,6.0,11.7,8.3,15.2,65.3,72.9,57.6,23.0,18.9,27.2
2015-CO,82.3,82.5,82.4,20.5,20.6,20.5,5.3,7.3,6.3,2.2,2.2,2.2,1.6,3.3,2.4,2.0,4.1,5.7,4.6,6.9,5.7,15.6,14.2,17.1,57.7,62.8,52.6,26.6,23.0,30.3
2015-CT,75.6,78.9,77.2,24.6,27.2,25.9,6.9,9.4,8.1,2.1,2.2,2.2,1.9,4.2,2.9,1.8,4.7,6.0,4.6,7.7,6.0,13.5,10.9,16.3,59.1,64.2,53.5,27.4,24.9,30.2
2015-DE,70.1,72.8,71.4,31.7,29.1,30.4,9.4,10.8,10.0,3.0,3.0,3.0,2.9,4.2,3.5,3.4,4.7,7.7,7.0,8.4,7.7,17.4,14.2,20.9,55.6,61.6,48.9,27.0,24.2,30.2
2015-DC,79.4,81.6,80.5,27.6,19.5,23.6,9.2,9.4,9.3,3.4,4.1,3.7,2.2,3.8,2.9,2.1,4.0,7.1,5.9,8.6,7.1,16.0,16.1,15.8,62.5,64.9,59.8,21.5,18.9,24.4
2015-FL,74.4,74.8,74.5,26.4,28.0,27.2,8.9,10.0,9.4,2.7,2.4,2.6,3.1,4.4,3.7,3.0,5.4,7.6,6.7,8.7,7.6,15.8,14.3,17.4,56.2,60.9,51.2,28.0,24.8,31.4
2015-GA,71.0,75.4,73.1,33.1,30.0,31.5,10.3,11.2,10.7,3.6,3.8,3.7,3.4,4.6,3.9,2.9,5.9,8.6,7.5,9.9,8.6,17.7,15.5,20.0,60.1,66.1,53.6,22.2,18.3,26.4
2015-HI,74.8,80.8,77.9,20.1,26.1,23.2,7.3,8.2,7.7,2.3,2.4,2.3,1.8,3.2,2.5,1.8,3.4,5.4,4.6,6.4,5.4,14.1,10.8,17.3,60.6,67.1,54.2,25.3,22.0,28.5
2015-ID,79.9,78.4,79.1,28.1,30.5,29.3,8.0,6.6,7.3,2.6,1.8,2.2,1.9,3.6,2.7,2.3,4.4,6.3,5.5,7.2,6.3,13.8,13.0,14.6,62.5,66.6,58.4,23.6,20.3,26.9
2015-IL,75.5,76.1,75.7,31.9,30.3,31.1,7.9,10.5,9.1,2.4,3.2,2.8,2.5,4.9,3.6,1.9,5.5,7.3,5.3,9.6,7.3,15.1,12.8,17.6,60.5,65.4,55.3,24.4,21.8,27.2
2015-IN,69.8,72.5,71.1,30.5,32.4,31.5,9.7,11.6,10.6,2.8,3.6,3.2,2.9,6.6,4.6,2.9,6.7,8.8,6.3,11.6,8.8,20.6,19.3,21.9,53.9,60.8,46.6,25.5,19.9,31.5
2015-IA,75.3,73.3,74.3,30.3,35.6,33.0,6.8,8.7,7.7,2.1,1.9,2.0,2.2,4.2,3.1,2.5,5.0,6.4,5.1,7.8,6.4,18.1,16.7,19.5,56.3,61.6,50.8,25.6,21.7,29.7
2015-KS,73.6,74.3,73.9,34.1,36.0,35.0,8.6,9.2,8.9,2.7,2.7,2.7,2.5,4.3,3.3,2.5,4.7,7.0,5.8,8.3,7.0,17.7,16.1,19.3,58.1,63.4,52.7,24.1,20.4,28.0
2015-KY,68.7,68.7,68.6,33.5,36.4,34.9,11.1,13.5,12.2,3.8,3.9,3.8,3.6,7.3,5.3,3.5,8.5,10.6,8.3,13.2,10.6,25.9,25.5,26.4,48.9,54.0,43.5,25.1,20.4,30.1
2015-LA,66.4,71.4,68.8,37.3,36.6,36.9,11.5,11.9,11.6,3.9,3.5,3.7,3.9,5.7,4.8,3.4,6.6,9.7,8.7,11.0,9.7,21.9,19.3,24.7,55.7,61.6,49.2,22.5,19.1,26.1
2015-ME,77.8,75.3,76.6,31.3,29.4,30.3,8.0,8.2,8.1,2.2,2.8,2.5,2.9,5.5,4.1,2.6,6.1,7.5,5.8,9.5,7.5,19.5,18.1,21.0,48.9,53.1,44.5,31.6,28.9,34.5
2015-MD,74.8,78.3,76.5,30.2,28.7,29.4,8.6,10.3,9.4,2.4,2.6,2.5,2.9,4.0,3.3,2.1,4.8,6.9,5.9,8.3,6.9,15.1,13.4,16.9,61.5,66.6,56.0,23.4,19.9,27.1
2015-MA,73.0,75.6,74.2,23.4,25.7,24.5,7.2,8.8,7.9,2.2,2.3,2.2,2.7,4.3,3.4,2.3,4.9,6.6,5.4,8.1,6.6,14.0,11.9,16.4,59.1,62.3,55.6,26.9,25.8,28.0
2015-MI,73.4,76.9,75.1,31.7,32.1,31.9,8.7,10.4,9.5,3.3,2.5,2.9,3.0,4.7,3.8,2.8,5.3,7.7,6.9,8.8,7.7,20.7,19.1,22.4,53.0,55.7,50.1,26.3,25.2,27.4
2015-MN,79.5,78.0,78.8,24.3,28.4,26.4,6.3,7.4,6.8,1.8,2.0,1.9,2.1,3.7,2.9,2.1,4.2,5.8,4.7,6.9,5.8,16.2,14.8,17.6,57.1,61.2,53.0,26.7,24.0,29.4
2015-MS,61.7,66.3,63.9,38.3,34.3,36.3,13.1,14.2,13.6,4.0,4.1,4.0,4.4,4.7,4.5,4.0,6.5,10.1,8.9,11.5,10.1,22.5,18.4,27.0,56.1,64.6,46.9,21.3,17.0,26.0
2015-MO,74.0,73.6,73.8,32.1,33.4,32.7,9.7,11.1,10.3,3.9,4.1,4.0,3.5,4.8,4.1,3.4,5.8,9.2,8.0,10.6,9.2,22.3,21.0,23.6,51.9,56.7,46.8,25.9,22.3,29.6
2015-MT,78.6,78.0,78.3,23.9,23.9,23.9,6.5,7.1,6.8,2.4,2.1,2.3,2.0,3.1,2.5,2.4,3.8,6.2,5.4,7.1,6.2,18.9,18.5,19.3,53.9,56.7,51.2,27.2,24.8,29.6
2015-NE,75.5,75.0,75.3,30.2,33.6,32.0,7.6,8.3,7.9,2.1,2.4,2.3,2.5,4.6,3.5,2.1,4.9,6.6,5.1,8.2,6.6,17.1,15.8,18.4,58.5,63.8,53.1,24.4,20.3,28.5
2015-NV,71.8,79.5,75.6,26.7,28.3,27.5,8.1,9.8,8.9,2.5,1.9,2.1,3.8,3.3,3.5,3.1,4.3,6.8,6.8,6.9,6.8,17.5,14.6,20.5,56.9,61.7,52.0,25.6,23.7,27.5
2015-NH,78.1,78.5,78.3,24.3,28.3,26.3,6.3,7.4,6.8,2.1,2.0,2.0,2.2,4.2,3.1,2.1,4.2,6.0,4.8,7.4,6.0,15.9,15.4,16.5,53.8,55.4,52.1,30.3,29.2,31.4
2015-NJ,71.1,75.7,73.4,23.5,27.9,25.8,7.0,9.0,7.9,1.9,2.0,2.0,2.5,4.0,3.2,2.2,4.4,6.1,4.9,7.6,6.1,13.5,11.5,15.7,61.3,65.0,57.2,25.2,23.5,27.1
2015-NM,77.0,78.6,77.8,29.7,28.6,29.1,10.4,10.6,10.5,2.6,2.9,2.8,2.7,3.6,3.1,2.6,4.6,7.0,6.5,7.6,7.0,17.5,16.0,19.1,57.7,62.7,52.5,24.7,21.2,28.4
2015-NY,68.8,73.4,71.0,24.5,26.2,25.4,8.2,9.9,9.0,2.3,2.2,2.2,2.4,4.5,3.4,2.5,4.7,6.6,5.4,8.2,6.6,15.2,12.9,17.7,60.6,64.3,56.5,24.2,22.8,25.7
2015-NC,73.9,75.3,74.5,31.8,29.7,30.7,9.8,9.3,9.5,3.2,3.2,3.2,3.3,5.1,4.1,2.5,5.1,7.9,6.6,9.4,7.9,19.0,16.3,21.9,55.2,60.9,49.0,25.8,22.8,29.1
2015-ND,75.3,71.6,73.4,27.8,35.9,32.1,7.9,8.3,8.1,2.1,2.4,2.2,2.7,4.0,3.3,2.2,4.9,6.6,5.4,7.8,6.6,18.7,15.4,21.9,56.7,63.5,50.2,24.5,21.0,27.9
2015-OH,73.4,74.4,73.8,28.6,31.2,29.9,9.1,10.3,9.6,2.7,3.3,3.0,2.8,4.3,3.5,2.7,5.9,7.9,6.4,9.7,7.9,21.6,20.2,23.1,54.0,58.9,48.7,24.4,20.9,28.2
2015-OK,68.1,66.9,67.5,34.8,35.0,34.8,10.4,11.3,10.8,3.4,3.3,3.3,3.5,5.7,4.6,3.5,7.5,9.4,7.9,11.1,9.4,22.2,20.4,24.0,53.1,57.7,48.5,24.7,21.9,27.6
2015-OR,82.3,81.3,81.8,29.3,32.1,30.7,8.2,11.0,9.5,2.4,3.0,2.7,2.4,4.2,3.3,2.0,4.0,6.4,5.0,7.9,6.4,17.1,16.3,17.9,55.9,60.3,51.4,27.0,23.4,30.7
2015-PA,71.6,74.9,73.3,30.9,30.1,30.5,8.1,9.5,8.7,3.0,3.1,3.0,2.7,5.3,3.9,2.9,5.6,7.8,6.3,9.5,7.8,18.1,16.6,19.8,55.9,59.5,52.1,26.0,24.0,28.1
2015-RI,70.8,74.4,72.5,24.6,28.5,26.5,7.2,8.9,7.9,1.9,2.7,2.3,2.4,4.4,3.3,1.9,5.3,6.5,4.9,8.4,6.5,15.5,12.8,18.5,56.6,61.7,51.0,27.9,25.5,30.6
2015-SC,71.7,76.5,74.0,33.8,31.1,32.4,10.1,10.7,10.4,3.2,3.7,3.4,2.9,4.5,3.6,2.6,5.6,8.0,6.5,9.8,8.0,19.7,16.2,23.4,55.4,61.8,48.3,25.0,22.0,28.2
2015-SD,80.1,78.6,79.3,29.0,33.3,31.3,7.3,9.4,8.3,2.3,2.0,2.1,3.2,4.7,3.9,2.8,5.0,7.2,6.3,8.1,7.2,20.1,20.6,19.5,54.1,57.9,50.3,25.8,21.5,30.2
2015-TN,69.5,71.8,70.5,35.7,34.3,35.0,11.4,11.6,11.5,4.0,3.8,3.9,3.7,4.9,4.3,3.9,6.9,9.8,8.7,11.1,9.8,21.9,21.1,22.8,53.3,59.4,46.5,24.8,19.5,30.7
2015-TX,69.1,72.4,70.7,33.7,32.2,32.9,10.3,12.3,11.3,3.1,2.8,2.9,2.7,4.0,3.3,2.9,5.5,7.8,6.6,9.1,7.8,15.2,12.4,18.2,63.5,70.7,55.9,21.3,17.0,25.9
2015-UT,79.0,80.2,79.5,25.1,26.4,25.8,6.9,8.1,7.5,2.4,2.1,2.3,1.7,3.3,2.5,2.1,4.1,5.8,4.7,6.9,5.8,9.1,7.0,11.2,74.8,80.3,69.2,16.1,12.7,19.7
2015-VT,78.9,78.2,78.6,25.8,24.7,25.2,6.1,8.1,7.1,1.9,2.2,2.0,2.3,4.6,3.4,2.5,4.9,6.4,5.2,7.8,6.4,16.0,14.0,18.0,55.1,59.3,50.6,29.0,26.6,31.4
2015-VA,75.2,75.9,75.5,30.0,29.2,29.6,9.7,9.3,9.5,2.9,2.7,2.8,2.4,3.8,3.1,2.4,4.0,6.8,5.9,7.8,6.8,16.5,14.4,18.8,59.8,65.6,53.7,23.6,20.0,27.5
2015-WA,80.8,81.9,81.3,26.2,27.2,26.7,7.0,8.4,7.7,2.4,2.4,2.4,2.2,4.3,3.1,2.4,4.5,6.7,5.4,8.1,6.7,15.0,13.4,16.6,58.7,63.4,53.9,26.3,23.2,29.5
2015-WV,68.6,72.1,70.3,34.6,38.0,36.4,12.1,12.9,12.5,4.6,3.5,4.1,4.9,7.6,6.2,4.1,7.7,11.6,10.3,13.2,11.6,25.7,25.7,25.7,49.4,54.9,43.7,24.9,19.5,30.5
2015-WI,79.4,78.5,79.0,30.9,31.9,31.4,6.6,8.2,7.4,1.9,1.9,1.9,2.2,4.7,3.4,2.5,4.6,6.3,4.9,7.8,6.3,17.3,14.9,19.8,56.4,61.4,51.4,26.2,23.7,28.8
2015-WY,73.6,74.7,74.2,28.4,30.8,29.7,6.3,8.6,7.4,2.7,2.1,2.4,2.1,3.6,2.8,2.7,5.3,6.7,6.0,7.4,6.7,19.1,17.5,20.6,56.5,59.5,53.6,24.4,22.9,25.9
2016-AL,68.3,75.1,71.6,36.5,36.8,36.6,12.9,13.6,13.2,4.4,3.7,4.1,3.9,6.8,5.2,3.5,7.0,10.5,9.1,12.2,10.5,21.5,20.0,23.3,54.6,62.1,46.3,23.9,17.9,30.4
2016-AK,78.8,82.4,80.8,31.2,34.1,32.7,7.3,7.6,7.5,2.6,1.8,2.2,2.2,3.2,2.7,2.5,3.1,5.8,6.0,5.5,5.8,19.0,16.6,21.2,54.0,58.8,49.6,27.0,24.6,29.2
2016-AZ,75.8,79.6,77.7,28.9,31.4,30.2,8.2,11.4,9.8,2.8,3.2,3.0,2.8,4.8,3.7,2.6,5.3,7.8,6.2,9.6,7.8,14.7,12.1,17.5,59.8,66.2,53.2,25.5,21.7,29.4
2016-AR,65.6,71.4,68.4,41.4,32.8,37.0,12.6,11.7,12.0,4.3,4.3,4.3,5.4,6.9,6.1,5.2,6.8,11.1,10.5,12.0,11.1,23.6,22.5,24.8,51.9,57.2,46.4,24.5,20.4,28.9
2016-CA,78.1,81.5,79.8,25.5,25.5,25.5,9.0,10.2,9.5,2.3,2.3,2.3,2.4,3.7,3.0,1.9,3.7,6.1,5.2,7.0,6.1,11.0,8.2,13.8,66.0,73.0,58.7,23.1,18.8,27.4
2016-CO,84.0,84.9,84.4,22.5,23.1,22.8,5.8,6.5,6.2,2.4,2.1,2.2,2.0,3.6,2.8,2.0,4.1,5.9,4.9,6.9,5.9,15.6,13.5,17.7,59.5,64.4,54.5,24.9,22.1,27.8
2016-CT,78.2,80.9,79.5,25.2,27.4,26.3,7.8,9.1,8.4,2.4,2.2,2.3,2.0,3.9,2.9,2.2,4.4,6.3,5.1,7.7,6.3,13.3,12.0,14.8,59.4,63.0,55.6,27.2,25.0,29.6
2016-DE,70.2,78.3,74.1,31.5,31.1,31.3,8.6,9.9,9.2,3.1,2.3,2.7,2.6,3.9,3.2,3.3,5.4,7.5,6.8,8.3,7.5,17.7,16.4,19.0,55.5,59.3,51.4,26.8,24.3,29.6
2016-DC,80.3,87.7,83.7,28.4,19.1,23.9,9.6,6.9,8.3,3.1,3.2,3.1,2.3,2.8,2.5,2.4,3.0,6.3,6.0,6.7,6.3,14.7,12.1,17.7,66.1,70.2,61.5,19.2,17.7,20.9
2016-FL,69.3,73.6,71.4,27.0,28.8,27.9,9.0,10.6,9.8,2.8,3.1,2.9,3.1,4.6,3.8,2.7,5.9,8.0,6.4,9.8,8.0,15.5,13.3,17.8,58.0,64.3,51.3,26.5,22.4,30.9
2016-GA,70.6,71.6,71.0,33.9,29.9,31.8,11.4,11.5,11.4,3.8,3.2,3.5,3.4,5.3,4.2,3.8,5.3,8.7,8.1,9.5,8.7,17.9,14.8,21.2,61.2,66.3,55.7,20.9,18.9,23.0
2016-HI,78.5,80.8,79.7,22.6,27.9,25.4,8.9,10.5,9.6,2.8,2.5,2.6,2.2,4.0,3.0,2.2,4.0,6.3,5.4,7.3,6.3,13.1,10.9,15.1,61.6,68.4,54.9,25.4,20.7,29.9
2016-ID,79.7,81.2,80.4,27.3,28.7,28.0,8.2,8.0,8.1,2.3,2.2,2.2,3.0,3.9,3.4,3.0,4.2,6.7,6.1,7.4,6.7,14.5,14.3,14.7,62.0,64.2,59.7,23.5,21.5,25.6
2016-IL,74.8,78.9,76.8,31.5,33.4,32.4,9.5,9.3,9.4,2.6,3.1,2.8,2.4,4.5,3.4,2.6,4.3,6.9,5.8,8.3,6.9,15.8,13.0,18.7,60.1,66.1,53.7,24.1,20.8,27.6
2016-IN,72.6,75.4,73.9,33.1,33.0,33.1,10.1,10.9,10.5,3.2,4.1,3.6,3.1,5.5,4.2,3.6,6.1,8.8,7.2,10.7,8.8,21.1,18.8,23.6,54.4,60.7,47.7,24.5,20.5,28.7
2016-IA,77.6,78.8,78.2,31.4,35.0,33.2,8.2,8.1,8.2,2.3,3.0,2.6,2.3,4.3,3.2,2.3,5.1,7.0,5.4,8.8,7.0,16.7,15.8,17.7,58.0,63.2,52.7,25.3,21.0,29.6
2016-KS,75.1,79.1,77.1,31.7,32.6,32.1,7.7,9.2,8.4,2.4,2.8,2.6,2.5,4.3,3.3,2.4,5.5,7.3,5.7,9.0,7.3,17.2,15.7,18.7,58.7,63.6,53.8,24.1,20.7,27.5
2016-KY,70.0,72.8,71.3,36.2,33.9,35.0,10.7,12.9,11.8,3.5,4.3,3.9,5.2,6.7,5.9,4.5,8.3,11.7,10.0,13.7,11.7,24.5,24.0,25.0,50.7,54.6,46.6,24.8,21.4,28.4
2016-LA,68.5,74.5,71.4,37.4,34.6,36.0,11.7,10.4,11.0,3.7,3.4,3.5,4.3,6.2,5.2,3.2,6.2,9.5,8.5,10.7,9.5,22.8,20.2,25.5,54.3,60.9,47.2,23.0,19.0,27.2
2016-ME,79.2,82.5,80.8,29.5,30.7,30.2,7.7,9.5,8.6,2.3,2.6,2.4,2.5,5.5,3.9,2.2,6.3,8.0,5.8,10.5,8.0,19.8,18.0,21.6,48.2,52.7,43.5,32.0,29.3,34.9
2016-MD,74.5,80.6,77.4,32.0,28.7,30.4,9.0,10.7,9.8,2.4,2.7,2.6,2.5,4.3,3.3,2.5,4.7,6.9,5.6,8.4,6.9,13.7,11.9,15.6,62.8,66.9,58.4,23.5,21.1,26.0
2016-MA,79.8,81.9,80.8,20.9,26.5,23.8,7.5,8.9,8.2,2.7,2.1,2.4,2.4,4.4,3.3,2.7,4.7,7.0,6.0,8.1,7.0,13.6,11.9,15.5,59.6,62.6,56.3,26.8,25.5,28.1
2016-MI,75.4,78.4,76.9,33.4,32.8,33.1,8.9,11.0,9.9,3.3,2.8,3.0,3.2,5.6,4.3,3.0,5.7,8.3,7.1,9.7,8.3,20.4,18.7,22.3,53.8,57.7,49.6,25.8,23.6,28.1
2016-MN,82.5,82.9,82.7,26.4,29.8,28.1,6.7,8.4,7.5,2.0,2.3,2.2,2.2,4.0,3.0,1.9,4.4,6.2,4.9,7.6,6.2,15.2,13.9,16.6,58.7,63.2,54.2,26.1,22.9,29.3
2016-MS,66.9,74.2,70.4,40.6,36.3,38.5,12.6,12.4,12.5,4.6,4.5,4.5,5.0,5.6,5.2,3.9,6.3,10.8,10.1,11.7,10.8,22.7,21.3,24.3,53.7,60.6,46.1,23.6,18.1,29.6
2016-MO,75.0,76.5,75.7,32.1,32.6,32.3,9.7,11.0,10.3,4.3,3.8,4.1,3.7,4.5,4.0,3.2,5.7,9.4,8.7,10.3,9.4,22.1,19.9,24.5,51.6,56.9,45.9,26.3,23.2,29.6
2016-MT,80.5,81.3,80.9,26.5,25.6,26.0,6.7,7.1,6.9,2.9,2.6,2.7,1.7,4.2,2.9,2.3,5.0,7.0,5.6,8.4,7.0,18.5,17.3,19.8,54.1,59.4,48.9,27.3,23.3,31.3
2016-NE,77.1,79.6,78.3,32.0,33.7,32.8,7.9,8.1,8.0,2.6,2.3,2.5,2.6,4.0,3.2,2.5,4.5,6.8,6.0,7.7,6.8,17.0,15.4,18.6,58.4,63.1,53.7,24.6,21.5,27.7
2016-NV,72.4,78.9,75.7,26.0,26.4,26.2,10.3,9.8,10.0,2.8,3.0,2.9,2.8,5.0,3.9,2.9,5.7,7.8,6.3,9.4,7.8,16.5,14.1,18.9,59.1,64.9,53.2,24.4,21.0,27.9
2016-NH,80.9,83.0,82.0,27.2,26.6,26.9,6.4,9.0,7.6,2.3,2.2,2.2,2.1,4.8,3.4,2.0,5.2,6.6,4.8,8.6,6.6,18.0,17.6,18.5,53.6,55.6,51.6,28.4,26.8,29.9
2016-NJ,68.7,73.5,71.0,25.0,29.4,27.3,7.2,9.0,8.1,2.2,3.0,2.6,2.1,4.9,3.4,2.4,5.2,7.1,5.3,9.1,7.1,14.0,13.1,14.9,62.3,66.4,58.0,23.7,20.6,27.1
2016-NM,77.3,83.5,80.4,28.6,29.9,29.2,9.7,11.4,10.5,3.3,2.7,3.0,2.4,4.7,3.5,3.4,5.6,7.6,6.7,8.7,7.6,16.6,14.0,19.4,57.7,65.1,50.1,25.6,20.9,30.5
2016-NY,72.1,76.2,74.0,25.4,26.6,26.0,8.8,10.4,9.5,2.2,2.6,2.4,3.3,4.1,3.6,2.4,4.3,6.8,5.8,8.1,6.8,14.2,11.9,16.7,62.5,67.6,57.1,23.3,20.5,26.3
2016-NC,76.0,79.1,77.5,33.9,30.8,32.3,10.4,10.0,10.2,3.5,3.3,3.4,3.4,5.1,4.2,2.5,5.6,8.5,7.4,9.9,8.5,17.9,15.3,20.7,56.8,62.4,50.8,25.3,22.3,28.6
2016-ND,78.0,78.7,78.4,32.2,33.7,32.9,7.1,9.3,8.2,2.3,2.9,2.6,2.7,4.7,3.7,2.9,5.0,7.5,5.9,9.2,7.5,19.8,17.1,22.3,55.5,61.6,49.6,24.8,21.3,28.0
2016-OH,73.0,77.7,75.3,32.6,31.8,32.2,9.1,10.4,9.7,3.0,3.3,3.1,3.3,5.2,4.1,2.9,6.0,8.2,6.7,10.0,8.2,22.5,20.5,24.7,53.9,59.1,48.3,23.6,20.4,27.0
2016-OK,70.1,74.7,72.4,32.7,33.8,33.2,10.3,11.6,10.9,3.8,4.2,4.0,3.3,5.4,4.3,3.1,6.6,9.7,7.8,11.8,9.7,19.6,17.9,21.4,55.6,60.5,50.4,24.8,21.6,28.2
2016-OR,83.2,83.5,83.4,30.1,29.6,29.8,8.0,8.6,8.3,2.5,2.9,2.7,3.0,4.6,3.8,2.4,5.1,7.3,5.9,8.8,7.3,16.2,14.4,18.1,56.8,61.2,52.2,27.0,24.4,29.7
2016-PA,77.4,79.7,78.4,30.0,32.0,30.9,9.0,10.6,9.7,3.1,2.9,3.0,2.8,5.2,3.9,2.8,5.8,8.3,7.0,9.8,8.3,18.0,16.0,20.1,55.6,60.1,50.7,26.5,23.9,29.3
2016-RI,73.1,80.3,76.5,25.8,28.9,27.3,8.0,9.4,8.6,1.8,2.3,2.0,2.1,4.8,3.4,2.4,5.4,6.5,4.8,8.4,6.5,14.4,12.2,16.9,57.5,62.3,52.4,28.0,25.6,30.7
2016-SC,71.9,76.3,74.0,34.0,32.1,33.0,11.4,11.8,11.5,3.3,3.5,3.4,3.2,4.6,3.8,3.2,5.7,8.4,7.3,9.8,8.4,20.0,17.4,22.9,54.2,61.8,45.8,25.8,20.8,31.3
2016-SD,82.2,81.7,82.0,28.2,33.5,30.9,6.3,7.7,7.0,2.0,1.7,1.9,2.7,5.9,4.2,2.2,5.9,7.6,5.5,9.8,7.6,18.1,15.1,21.1,55.6,62.0,49.2,26.3,22.9,29.7
2016-TN,68.5,77.0,72.7,34.7,36.4,35.5,10.4,12.2,11.2,4.6,4.1,4.3,3.8,5.5,4.6,3.5,6.2,9.9,8.9,11.2,9.9,22.1,20.4,23.9,54.1,59.8,48.0,23.8,19.8,28.1
2016-TX,72.0,77.9,74.8,35.0,33.5,34.3,10.8,11.5,11.1,2.3,2.8,2.5,3.3,4.0,3.6,2.3,4.8,7.4,6.1,8.8,7.4,14.3,11.3,17.3,62.8,70.7,54.6,23.0,18.0,28.0
2016-UT,83.3,84.9,84.1,26.7,27.1,26.9,6.8,8.4,7.6,2.3,2.2,2.2,1.5,3.6,2.5,1.5,4.2,5.6,4.4,6.9,5.6,8.8,7.1,10.4,75.3,81.1,69.5,15.9,11.8,20.1
2016-VT,83.1,80.8,81.9,27.1,28.2,27.6,6.7,7.7,7.1,1.7,2.5,2.1,2.0,3.7,2.8,2.4,4.6,6.3,4.8,7.9,6.3,17.0,14.7,19.5,54.3,59.2,49.1,28.7,26.1,31.4
2016-VA,75.6,78.8,77.1,29.6,28.9,29.2,9.1,10.2,9.6,2.7,2.5,2.6,2.8,3.8,3.3,3.2,5.1,7.4,6.7,8.2,7.4,15.3,13.7,17.0,60.8,65.1,56.3,23.9,21.2,26.7
2016-WA,81.2,84.3,82.7,28.4,30.1,29.3,8.2,9.0,8.6,2.4,2.6,2.5,2.4,4.1,3.2,2.4,4.3,6.7,5.6,8.1,6.7,13.9,11.9,16.0,59.3,64.6,54.0,26.7,23.4,30.0
2016-WV,69.7,75.8,72.7,38.5,38.4,38.5,12.4,13.2,12.7,3.3,3.9,3.6,5.1,7.7,6.3,4.6,7.7,11.8,9.7,14.1,11.8,24.8,23.9,25.8,48.9,54.0,43.6,26.3,22.1,30.7
