Year-State,Inactive-Female,Inactive-Male,Inactive-Overall,Obese-Female,Obese-Male,Obese-Overall,Diabetic-Female,Diabetic-Male,Diabetic-Overall,Stroke-Female,Stroke-Male,Stroke-Overall,Coronary Disease-Female,Coronary Disease-Male,Coronary Disease-Overall,Heart Attack-Female,Heart Attack-Male,Heart Attack-Overall,Major CV Disease-Female,Major CV Disease-Male,Major CV Disease-Overall,current_overall,current_female,current_male,Never_overall,Never_female,Never_male,Former_overall,Former_female,Former_male
2016-WI,79.4,82.2,80.8,30.5,31.9,31.2,7.0,10.4,8.6,2.5,2.0,2.2,2.3,5.5,3.8,2.5,4.5,7.2,5.5,8.9,7.2,17.1,16.2,18.0,55.4,58.8,52.0,27.5,25.1,30.0
2016-WY,76.3,78.5,77.4,28.9,28.6,28.7,7.4,7.5,7.5,3.1,2.4,2.8,2.8,3.9,3.3,2.8,4.6,7.0,6.6,7.5,7.0,18.9,19.1,18.8,54.9,58.2,51.8,26.1,22.7,29.5
2017-AL,65.7,72.7,69.0,38.6,36.6,37.6,12.5,12.7,12.6,4.2,4.4,4.3,3.8,5.7,4.7,3.6,6.8,10.4,8.9,12.0,10.4,20.9,18.7,23.4,55.7,63.2,47.3,23.4,18.1,29.3
2017-AK,79.8,78.4,79.1,36.4,33.8,34.9,7.3,7.7,7.5,2.5,2.2,2.3,1.8,4.0,2.9,2.3,3.5,6.5,5.1,7.8,6.5,21.0,17.1,24.2,53.4,61.2,46.7,25.6,21.6,29.1
2017-AZ,74.7,76.8,75.7,29.6,31.2,30.4,8.6,10.5,9.5,2.5,2.5,2.5,2.5,3.9,3.2,2.6,4.6,6.8,5.8,8.0,6.8,15.6,12.9,18.3,59.8,65.5,53.8,24.7,21.6,27.9
2017-AR,65.0,71.2,68.0,39.6,33.7,36.4,10.9,11.1,11.0,4.3,4.7,4.5,4.0,6.4,5.1,3.2,8.3,11.1,8.8,13.7,11.1,22.3,21.6,22.8,52.2,57.5,46.7,25.5,20.8,30.5
2017-CA,79.1,81.1,80.1,26.3,25.2,25.7,9.1,10.9,9.9,1.8,2.4,2.1,1.7,3.7,2.6,2.2,3.7,5.8,4.5,7.5,5.8,11.3,7.8,14.9,66.4,73.6,59.0,22.3,18.6,26.0
2017-CO,79.6,81.8,80.7,24.2,22.0,23.0,6.7,7.1,6.9,2.1,1.9,2.0,1.5,3.4,2.4,1.6,3.6,5.4,4.2,6.8,5.4,14.6,12.6,16.6,59.8,64.8,54.9,25.6,22.7,28.5
2017-CT,75.2,77.9,76.4,24.7,29.7,27.3,7.7,9.5,8.5,2.0,2.2,2.1,2.2,4.3,3.1,2.0,4.0,6.2,5.1,7.5,6.2,12.7,11.5,14.1,61.3,64.0,58.3,26.0,24.5,27.6
2017-DE,66.8,73.0,69.8,31.0,32.9,31.9,8.8,10.7,9.7,2.9,3.1,3.0,3.0,3.9,3.4,2.6,4.3,7.3,6.8,8.0,7.3,17.0,16.2,17.9,57.9,62.8,52.6,25.1,21.0,29.5
2017-DC,74.2,77.6,75.7,27.6,19.4,23.6,8.7,7.4,8.1,3.2,3.4,3.3,1.8,2.4,2.1,2.2,3.7,6.5,5.8,7.3,6.5,14.3,11.3,17.8,67.2,72.3,61.4,18.4,16.4,20.8
2017-FL,69.5,74.0,71.8,28.1,30.3,29.2,8.4,9.0,8.7,2.9,3.2,3.1,3.0,4.7,3.8,2.9,5.3,8.0,6.8,9.4,8.0,16.1,13.5,18.8,59.0,64.3,53.3,24.9,22.1,27.9
2017-GA,67.9,71.4,69.6,34.5,30.4,32.4,10.7,10.4,10.5,3.3,3.2,3.3,2.8,4.6,3.7,2.6,4.8,7.5,6.7,8.6,7.5,17.5,14.3,20.9,62.2,68.6,55.3,20.3,17.1,23.8
2017-HI,71.8,81.5,76.8,23.1,26.0,24.6,10.0,9.6,9.8,2.4,2.7,2.5,1.3,3.0,2.1,1.5,3.7,5.5,4.4,6.8,5.5,12.8,9.4,16.1,60.5,68.3,52.8,26.7,22.3,31.1
2017-ID,78.3,74.0,76.2,29.1,31.2,30.1,8.3,7.5,7.9,2.4,2.3,2.3,1.9,4.0,2.9,2.9,4.1,6.6,5.7,7.5,6.6,14.3,13.1,15.7,61.8,66.8,56.7,23.9,20.1,27.7
2017-IL,75.0,78.1,76.6,31.0,32.7,31.9,9.5,10.9,10.1,2.1,2.9,2.4,2.3,4.8,3.5,2.4,4.4,6.7,5.0,8.7,6.7,15.5,13.8,17.3,61.5,66.7,56.0,23.0,19.6,26.7
2017-IN,69.2,72.5,70.8,34.4,33.7,34.0,10.1,11.4,10.7,3.0,3.4,3.2,3.3,5.2,4.2,3.0,6.0,8.3,6.8,10.1,8.3,21.8,20.2,23.5,53.7,58.4,48.7,24.5,21.4,27.8
2017-IA,76.5,75.0,75.7,37.1,37.9,37.5,8.1,8.4,8.2,2.4,3.0,2.6,2.8,4.1,3.4,2.4,4.5,6.9,5.6,8.4,6.9,17.1,15.8,18.5,58.3,63.3,53.1,24.6,21.0,28.4
2017-KS,72.2,73.2,72.7,33.4,33.1,33.2,9.2,10.0,9.5,2.6,2.7,2.6,2.8,4.2,3.4,2.6,4.8,7.2,6.1,8.4,7.2,17.4,16.4,18.3,58.3,62.8,53.7,24.3,20.8,28.0
2017-KY,63.5,69.6,66.6,33.0,37.2,35.1,11.1,11.6,11.3,4.8,3.6,4.2,4.2,6.8,5.4,3.3,8.2,11.1,9.4,13.1,11.1,24.6,22.4,26.9,49.8,55.1,44.3,25.6,22.6,28.8
2017-LA,67.1,69.7,68.3,37.5,36.8,37.1,13.4,12.2,12.7,5.2,3.2,4.2,3.7,5.8,4.7,3.6,5.8,9.8,9.2,10.5,9.8,23.1,21.0,25.4,54.0,58.9,48.5,22.9,20.1,26.1
2017-ME,77.9,74.0,76.0,27.4,31.5,29.5,7.2,10.6,8.8,2.1,3.0,2.6,2.2,4.9,3.5,2.2,7.0,7.5,5.2,10.1,7.5,17.3,14.3,20.5,51.0,56.5,45.1,31.7,29.1,34.5
2017-MD,72.6,77.1,74.8,32.6,30.8,31.8,8.7,10.2,9.4,2.7,2.6,2.7,2.0,3.8,2.8,2.2,4.4,6.6,5.3,8.1,6.6,13.8,11.9,16.0,64.2,68.8,59.1,22.0,19.3,24.9
2017-MA,74.9,77.2,76.0,24.8,28.0,26.5,8.2,8.8,8.4,2.5,2.8,2.6,2.7,3.7,3.1,2.1,5.0,6.7,5.8,7.9,6.7,13.7,12.6,14.8,61.3,64.7,57.5,25.1,22.7,27.7
2017-MI,71.6,75.0,73.3,33.9,32.0,32.9,9.4,9.8,9.5,3.2,3.3,3.2,3.4,5.4,4.3,3.1,6.2,8.7,7.3,10.4,8.7,19.3,16.9,21.8,54.0,58.5,49.3,26.7,24.6,28.9
2017-MN,76.4,75.5,75.9,27.0,30.7,28.9,5.7,8.2,6.9,1.7,2.4,2.0,2.0,3.8,2.8,1.9,4.2,5.7,4.3,7.3,5.7,14.5,12.8,16.3,59.1,64.1,54.0,26.3,23.0,29.8
2017-MS,64.3,71.1,67.5,40.1,36.4,38.3,12.8,13.1,12.9,3.9,4.7,4.3,4.5,5.5,4.9,3.6,6.0,10.1,8.7,11.6,10.1,22.2,22.1,22.2,56.3,61.7,50.3,21.6,16.2,27.5
2017-MO,71.0,71.9,71.4,34.5,32.4,33.4,9.0,9.6,9.3,3.8,3.7,3.8,3.4,4.9,4.1,3.5,5.3,8.9,7.8,10.3,8.9,20.8,20.0,21.6,53.4,58.1,48.5,25.8,21.9,30.0
2017-MT,78.1,74.0,76.0,23.6,27.7,25.7,6.5,7.0,6.7,2.2,2.0,2.1,2.2,2.7,2.4,1.9,4.6,6.3,5.2,7.4,6.3,17.2,16.8,17.5,55.6,58.3,52.8,27.3,24.9,29.7
2017-NE,75.7,74.4,75.0,33.6,33.6,33.5,9.1,9.9,9.5,2.8,2.4,2.6,2.7,4.1,3.3,2.4,5.1,7.0,6.1,8.1,7.0,15.4,14.5,16.4,60.0,64.9,54.9,24.6,20.6,28.7
2017-NV,73.9,70.5,72.2,28.2,27.1,27.6,9.6,9.4,9.5,2.4,3.0,2.7,2.5,5.2,3.8,3.4,5.4,7.7,6.1,9.3,7.7,17.6,15.8,19.4,58.5,64.9,52.0,24.0,19.3,28.6
2017-NH,75.4,78.2,76.8,26.7,30.9,28.8,5.9,8.3,7.1,2.0,2.5,2.2,1.6,3.8,2.6,1.9,4.3,5.7,4.1,7.5,5.7,15.7,14.5,16.8,54.0,56.5,51.3,30.3,28.9,31.8
2017-NJ,69.8,74.0,71.8,25.6,29.7,27.7,8.7,11.0,9.8,1.9,2.4,2.2,2.7,3.7,3.1,2.5,4.2,6.4,5.6,7.5,6.4,13.7,11.5,16.1,61.0,66.0,55.5,25.3,22.5,28.4
2017-NM,74.4,78.1,76.2,30.3,29.2,29.8,8.5,11.2,9.8,2.5,2.3,2.4,2.1,3.1,2.6,2.6,4.3,6.3,5.8,7.0,6.3,17.5,14.5,20.6,58.6,65.2,51.8,23.9,20.3,27.6
2017-NY,70.6,75.8,73.2,25.5,26.4,26.0,8.8,10.1,9.4,2.3,2.0,2.1,2.6,4.2,3.3,2.4,4.4,6.5,5.5,7.6,6.5,14.1,10.9,17.5,62.8,67.1,58.1,23.1,22.0,24.3
2017-NC,75.0,75.4,75.2,34.4,31.2,32.8,10.1,10.5,10.2,3.2,3.4,3.3,2.7,4.7,3.6,2.8,4.7,8.1,6.9,9.6,8.1,17.2,15.4,19.2,56.9,62.1,51.2,25.9,22.5,29.6
2017-ND,72.9,72.6,72.8,32.2,36.6,34.5,7.8,9.3,8.5,1.9,2.9,2.4,2.9,4.1,3.4,2.9,5.0,7.0,5.6,8.5,7.0,18.3,17.1,19.4,56.8,61.3,52.3,24.9,21.6,28.2
2017-OH,70.5,72.3,71.3,35.2,33.9,34.5,9.8,9.9,9.8,3.2,3.3,3.2,3.0,4.8,3.8,3.2,6.2,8.3,6.9,9.9,8.3,21.1,19.9,22.4,54.4,58.8,49.8,24.4,21.3,27.7
2017-OK,66.2,70.5,68.3,37.4,38.1,37.6,11.3,12.5,11.8,3.9,4.5,4.2,3.8,5.5,4.6,3.6,6.5,9.7,8.4,11.3,9.7,20.1,19.2,21.2,55.3,59.4,50.9,24.5,21.4,27.9
2017-OR,78.4,80.2,79.3,30.5,29.2,29.8,7.9,9.0,8.4,2.6,2.4,2.5,2.2,3.7,2.9,2.4,3.9,6.3,5.4,7.3,6.3,16.1,14.2,18.1,58.2,61.8,54.4,25.7,24.0,27.5
2017-PA,75.7,76.8,76.2,30.4,33.3,31.9,8.1,9.8,8.9,3.1,3.6,3.3,3.3,5.1,4.1,3.0,4.8,8.5,7.2,10.0,8.5,18.7,16.9,20.8,54.3,60.7,47.6,26.9,22.5,31.6
2017-RI,71.8,77.2,74.4,29.6,31.1,30.3,7.4,8.4,7.8,2.8,2.6,2.7,2.3,4.0,3.1,2.4,4.8,6.7,5.7,7.9,6.7,14.9,12.9,17.2,56.6,59.8,52.9,28.5,27.2,29.9
2017-SC,70.2,74.2,72.2,36.2,33.4,34.8,11.9,12.1,12.0,3.2,3.6,3.4,3.2,5.2,4.2,2.9,5.3,8.4,7.3,9.8,8.4,18.8,16.0,21.8,54.7,62.1,46.8,26.5,21.9,31.5
2017-SD,79.4,72.5,75.9,30.7,34.7,32.8,8.8,10.9,9.8,1.8,2.8,2.3,2.7,5.1,3.9,2.8,5.8,7.7,6.1,9.5,7.7,19.3,16.5,22.1,55.1,60.8,49.2,25.7,22.7,28.7
2017-TN,68.5,71.8,70.0,33.3,34.2,33.7,11.6,11.9,11.7,4.0,4.0,4.0,3.8,4.7,4.2,3.7,6.8,10.1,8.9,11.5,10.1,22.6,21.1,24.3,53.6,59.4,47.4,23.8,19.6,28.3
2017-TX,66.7,69.7,68.0,32.5,35.0,33.8,10.3,13.1,11.6,3.3,3.3,3.3,2.6,3.6,3.1,2.9,4.6,7.4,6.7,8.2,7.4,15.7,13.6,17.8,64.4,71.2,57.4,19.9,15.2,24.8
2017-UT,78.8,78.5,78.6,25.2,27.3,26.3,6.8,8.0,7.4,2.6,1.8,2.2,2.0,3.5,2.7,1.6,4.3,6.1,5.1,7.2,6.1,8.9,6.8,11.0,76.1,82.4,69.7,15.0,10.8,19.3
2017-VT,79.4,79.0,79.2,27.5,28.7,28.1,5.4,8.4,6.8,1.7,2.4,2.0,2.2,4.2,3.1,2.5,5.7,6.5,4.8,8.4,6.5,15.8,14.7,17.0,54.7,57.9,51.3,29.5,27.4,31.7
2017-VA,73.6,75.6,74.6,32.1,28.9,30.4,9.1,10.0,9.5,2.9,2.4,2.7,2.5,4.3,3.4,3.0,5.1,7.5,6.6,8.6,7.5,16.4,14.4,18.4,59.9,65.3,54.2,23.7,20.3,27.4
2017-WA,80.2,81.9,81.0,27.5,28.8,28.2,8.1,8.9,8.5,2.8,2.4,2.6,2.3,3.9,3.1,2.6,4.1,6.6,6.0,7.4,6.6,13.5,12.2,14.8,59.3,63.0,55.6,27.2,24.8,29.6
2017-WV,69.7,70.2,69.8,36.8,40.6,38.8,12.6,13.4,13.0,3.9,4.2,4.0,5.1,6.9,5.9,4.8,7.3,11.7,10.5,13.0,11.7,26.0,26.9,25.1,47.8,51.3,44.1,26.2,21.8,30.8
2017-WI,77.8,78.5,78.2,31.3,32.8,32.1,6.7,9.7,8.2,1.6,2.1,1.9,2.3,3.7,3.0,2.3,3.5,5.6,4.5,6.8,5.6,16.0,15.0,17.1,58.4,62.0,54.6,25.6,23.0,28.3
2017-WY,77.9,72.5,75.1,29.0,30.5,29.7,7.5,9.0,8.3,2.9,2.8,2.8,2.4,4.0,3.2,2.7,5.3,7.1,6.0,8.3,7.1,18.7,18.4,19.0,55.3,59.2,51.6,26.0,22.5,29.3
2019-AL,66.7,72.2,69.3,37.0,37.2,37.1,11.9,12.7,12.3,4.6,4.8,4.7,3.3,6.1,4.6,3.0,7.1,10.4,8.5,12.7,10.4,20.2,18.3,22.4,55.5,61.9,48.3,24.3,19.7,29.4
2019-AK,79.2,77.8,78.4,31.7,31.2,31.4,7.7,6.7,7.2,2.0,2.2,2.1,1.0,2.9,1.9,1.4,3.9,5.2,3.6,6.8,5.2,17.4,15.7,19.0,56.8,62.0,52.0,25.9,22.4,29.0
2019-AZ,74.8,78.0,76.4,33.8,31.9,32.8,9.2,10.3,9.7,2.9,3.3,3.1,2.5,4.1,3.2,2.7,5.0,7.1,6.2,8.1,7.1,14.9,12.5,17.4,58.7,64.7,52.5,26.4,22.8,30.1
2019-AR,66.7,72.7,69.7,40.1,36.5,38.1,12.1,12.4,12.2,4.1,4.2,4.1,4.6,5.7,5.1,3.9,6.4,10.1,9.3,11.1,10.1,20.2,18.8,21.7,54.3,59.9,48.3,25.5,21.3,30.0
2019-CA,75.8,79.6,77.7,28.7,25.2,26.9,8.8,10.1,9.4,1.7,3.1,2.4,1.7,3.3,2.4,1.9,3.9,5.9,4.4,7.6,5.9,10.0,7.4,12.7,67.0,73.9,59.9,23.0,18.7,27.4
2019-CO,81.7,81.2,81.4,23.3,25.2,24.3,6.2,6.8,6.5,2.2,1.9,2.0,1.6,2.7,2.1,1.9,3.1,5.1,4.6,5.8,5.1,13.5,11.9,15.1,61.0,65.8,56.1,25.5,22.3,28.8
2019-CT,75.3,78.6,76.9,29.1,30.6,29.8,7.5,9.3,8.3,2.4,2.3,2.3,2.1,2.8,2.4,2.0,3.1,5.4,5.2,5.8,5.4,12.1,10.6,13.7,62.7,65.4,59.9,25.2,24.1,26.4
2019-DE,72.8,76.2,74.4,35.7,34.2,34.9,9.9,12.2,11.0,3.0,3.4,3.2,2.4,4.6,3.4,2.4,4.6,7.4,5.9,9.1,7.4,15.9,16.0,15.8,57.8,60.9,54.3,26.3,23.1,29.8
2019-DC,79.7,82.5,80.9,27.9,21.4,24.7,8.9,9.5,9.1,3.1,3.8,3.4,2.4,3.7,3.0,2.3,3.6,6.8,5.8,8.0,6.8,12.7,9.8,16.1,66.6,70.9,61.7,20.6,19.3,22.1
2019-FL,73.7,74.6,74.1,27.5,26.5,26.9,8.5,10.5,9.5,2.9,3.0,2.9,2.8,4.7,3.7,2.8,4.8,7.6,6.7,8.7,7.6,14.8,13.9,15.7,58.9,62.7,54.8,26.3,23.3,29.5
2019-GA,71.0,74.2,72.6,33.9,34.0,33.9,11.8,10.4,11.1,3.2,3.6,3.4,2.6,4.5,3.5,2.6,5.2,7.9,6.5,9.5,7.9,16.3,13.9,19.0,61.8,68.2,54.7,21.9,17.9,26.3
2019-HI,73.7,78.9,76.3,23.6,28.8,26.3,8.4,10.3,9.3,2.5,2.5,2.5,1.5,2.9,2.2,1.9,3.9,5.6,4.5,6.8,5.6,12.3,9.4,15.2,62.3,68.7,55.9,25.4,21.9,28.9
2019-ID,77.1,76.9,77.0,31.0,29.5,30.1,8.7,9.6,9.1,2.4,3.3,2.8,2.6,3.7,3.1,2.5,5.1,7.3,5.9,8.8,7.3,15.3,13.9,16.8,61.1,66.9,55.2,23.5,19.2,28.0
2019-IL,73.7,76.0,74.9,32.5,31.7,32.1,9.4,10.8,10.0,2.4,2.9,2.6,2.2,4.2,3.1,2.1,4.3,6.8,5.3,8.6,6.8,14.5,12.1,17.0,60.3,65.8,54.5,25.2,22.1,28.5
2019-IN,68.9,70.4,69.6,36.9,36.0,36.4,9.9,12.4,11.1,3.3,3.4,3.4,3.1,4.8,3.9,3.3,5.1,8.5,7.4,9.7,8.5,19.2,17.3,21.2,55.9,61.1,50.4,24.9,21.6,28.4
2019-IA,75.1,73.0,74.1,34.2,36.2,35.2,8.1,10.0,9.0,2.5,2.7,2.6,2.2,3.9,3.0,2.1,4.8,6.9,5.6,8.5,6.9,16.4,14.8,17.9,59.4,64.7,54.1,24.2,20.5,28.0
2019-KS,72.5,74.1,73.3,37.5,35.3,36.3,9.1,10.3,9.6,2.6,2.6,2.6,2.4,4.0,3.2,2.5,5.0,7.1,5.8,8.5,7.1,16.2,16.0,16.4,59.2,63.4,54.9,24.6,20.5,28.7
2019-KY,67.2,69.4,68.3,39.2,35.6,37.3,11.5,12.5,11.9,4.5,4.2,4.3,5.0,5.1,5.0,4.2,7.0,10.3,9.6,11.3,10.3,23.6,25.1,22.1,51.4,54.4,48.2,25.0,20.5,29.7
2019-LA,65.8,71.3,68.4,39.4,34.6,36.9,10.9,11.9,11.4,4.4,3.9,4.1,4.0,4.6,4.3,3.2,5.0,9.2,8.8,9.7,9.2,21.9,19.8,24.1,55.2,61.6,48.4,22.9,18.6,27.5
2019-ME,71.7,70.3,71.0,31.3,33.7,32.5,8.2,9.4,8.8,3.5,2.5,3.0,3.0,4.7,3.8,3.0,5.8,8.1,7.2,9.2,8.1,17.6,15.4,19.9,52.0,56.0,47.8,30.4,28.6,32.3
2019-MD,75.9,78.6,77.2,34.9,30.7,32.8,9.2,10.4,9.7,2.5,2.9,2.7,1.8,3.4,2.5,2.0,4.2,6.2,4.8,7.7,6.2,12.7,11.3,14.2,65.2,69.1,61.0,22.1,19.6,24.8
2019-MA,73.8,74.5,74.1,23.6,26.5,25.1,6.4,8.4,7.3,1.9,2.3,2.1,2.4,4.0,3.1,2.7,4.7,6.4,5.2,7.9,6.4,12.0,9.8,14.5,62.6,65.8,59.2,25.3,24.4,26.3
2019-MI,75.5,75.4,75.4,38.1,35.5,36.7,9.0,10.1,9.5,3.3,2.8,3.0,3.0,4.4,3.6,2.5,5.0,7.7,6.8,8.9,7.7,18.7,17.2,20.2,54.8,59.2,50.1,26.5,23.5,29.7
2019-MN,81.4,79.5,80.4,29.5,31.6,30.6,7.1,8.3,7.7,1.9,2.6,2.2,1.9,3.7,2.7,2.0,4.2,6.0,4.6,7.5,6.0,14.6,13.0,16.3,59.8,63.7,55.8,25.6,23.3,27.9
2019-MS,61.3,65.3,63.3,46.4,37.2,41.7,13.4,13.1,13.2,5.3,3.4,4.4,3.5,5.0,4.2,3.9,5.9,9.7,8.8,10.8,9.7,20.4,16.9,24.2,57.7,65.3,49.4,21.9,17.8,26.4
2019-MO,69.3,71.1,70.2,35.0,35.8,35.4,8.6,9.5,9.0,3.4,3.5,3.4,3.0,4.3,3.6,3.4,5.6,8.4,7.2,9.7,8.4,19.6,18.7,20.6,53.8,58.2,49.2,26.6,23.1,30.2
2019-MT,81.3,81.5,81.4,30.1,27.2,28.6,6.3,6.6,6.4,2.5,2.7,2.6,2.2,4.1,3.1,2.8,5.1,7.1,5.8,8.6,7.1,16.6,16.5,16.7,56.7,59.4,54.0,26.7,24.1,29.2
2019-NE,73.4,73.9,73.6,35.2,34.5,34.8,8.3,10.0,9.1,2.6,2.4,2.5,2.4,3.8,3.1,2.4,4.4,6.6,5.7,7.5,6.6,14.7,13.6,15.7,60.6,64.8,56.3,24.7,21.5,28.0
2019-NV,72.7,75.7,74.3,30.5,32.4,31.4,9.7,10.4,10.0,2.1,4.1,3.0,3.6,5.1,4.3,3.7,5.1,8.5,7.3,9.9,8.5,15.7,13.9,17.5,59.8,66.3,53.3,24.5,19.8,29.3
2019-NH,76.6,81.4,79.0,31.3,33.2,32.3,7.1,8.8,7.9,2.1,2.2,2.2,1.8,3.8,2.8,2.2,3.9,5.8,4.6,7.2,5.8,15.9,14.7,17.1,53.8,56.2,51.4,30.3,29.0,31.6
2019-NM,73.7,76.5,75.0,34.1,32.1,33.0,10.9,10.9,10.9,2.5,2.1,2.3,2.1,2.7,2.4,3.0,3.8,6.1,5.7,6.5,6.1,16.0,13.8,18.3,59.4,65.9,52.6,24.6,20.3,29.1
2019-NY,71.3,75.3,73.2,28.2,27.1,27.6,8.7,9.8,9.2,2.6,2.6,2.6,2.6,3.9,3.2,2.4,4.5,6.7,5.7,7.9,6.7,12.7,11.3,14.2,63.8,67.6,59.6,23.6,21.2,26.2
2019-NC,72.7,75.6,74.1,38.3,30.7,34.4,11.4,9.7,10.6,4.3,3.4,3.9,3.2,4.7,3.9,2.9,4.9,8.3,7.7,9.1,8.3,18.5,16.4,20.7,57.4,63.3,50.9,24.1,20.3,28.4
2019-ND,72.2,71.9,72.1,34.6,38.3,36.5,7.3,9.0,8.2,1.6,2.7,2.2,1.9,3.8,2.8,2.3,5.0,6.5,4.7,8.3,6.5,17.0,16.0,18.1,60.2,65.4,55.2,22.8,18.6,26.8
2019-OH,70.9,74.4,72.6,36.3,34.7,35.4,9.3,11.1,10.1,3.3,3.4,3.3,2.9,4.8,3.7,3.3,5.8,8.3,7.0,9.9,8.3,20.8,20.0,21.6,55.0,59.7,49.9,24.2,20.3,28.5
2019-OK,65.3,67.8,66.5,38.0,37.3,37.7,10.3,12.0,11.1,4.0,4.0,4.0,4.1,5.4,4.7,3.3,5.8,9.9,9.2,10.7,9.9,18.9,16.8,21.1,55.8,61.6,49.8,25.3,21.6,29.1
2019-OR,76.3,76.7,76.5,29.4,29.3,29.4,7.3,7.6,7.4,2.7,2.5,2.6,3.1,2.9,3.0,2.5,4.5,6.8,6.3,7.4,6.8,14.5,13.6,15.4,58.6,63.0,53.9,27.0,23.4,30.7
2019-PA,74.8,76.4,75.6,34.0,34.1,34.0,9.0,9.2,9.1,2.9,3.3,3.1,2.8,3.8,3.3,2.5,4.7,7.3,6.5,8.4,7.3,17.3,16.5,18.2,56.3,60.6,51.8,26.4,22.9,30.1
2019-RI,72.3,75.8,74.0,28.6,31.7,30.1,7.5,10.7,9.1,1.9,2.4,2.1,2.0,4.7,3.3,2.2,4.5,6.7,4.9,8.7,6.7,13.3,11.4,15.3,60.0,63.4,56.2,26.7,25.1,28.4
2019-SC,69.6,73.9,71.7,37.6,34.6,36.1,11.3,11.9,11.5,3.2,4.5,3.8,2.9,5.0,3.8,3.0,5.7,8.7,7.0,10.8,8.7,17.5,15.8,19.5,56.9,63.1,50.1,25.5,21.1,30.4
2019-SD,70.1,71.6,70.9,33.3,34.5,33.9,8.1,10.4,9.2,2.4,2.3,2.4,2.9,4.7,3.7,2.9,5.6,7.2,6.0,8.4,7.2,18.3,17.8,18.8,55.5,61.1,50.0,26.2,21.1,31.2
2019-TN,68.3,73.8,70.9,37.3,37.8,37.5,11.3,13.2,12.2,4.2,3.9,4.0,3.3,5.5,4.3,3.3,6.1,9.5,8.2,11.0,9.5,19.9,18.9,20.9,54.8,59.7,49.6,25.3,21.5,29.4
2019-TX,70.8,75.1,72.9,35.8,33.7,34.7,10.8,12.9,11.9,4.0,3.1,3.6,2.4,3.5,3.0,2.7,5.0,7.9,7.3,8.5,7.9,14.7,11.3,18.2,65.1,72.0,58.0,20.2,16.7,23.8
2019-UT,80.7,82.3,81.5,30.1,30.7,30.3,7.6,8.8,8.2,2.2,2.1,2.1,1.7,3.0,2.3,1.8,3.8,5.6,4.5,6.8,5.6,7.9,5.8,10.0,75.5,81.9,69.0,16.6,12.4,20.9
2019-VT,82.2,79.9,81.1,25.9,27.9,26.9,6.4,8.0,7.2,1.9,2.8,2.4,2.5,3.8,3.1,2.3,5.5,6.9,5.4,8.6,6.9,15.1,13.8,16.5,55.2,58.6,51.7,29.6,27.6,31.8
2019-VA,73.8,76.8,75.3,34.6,30.5,32.5,9.1,10.6,9.8,2.8,3.0,2.9,1.9,4.0,2.9,2.3,4.9,6.9,5.6,8.4,6.9,14.0,12.8,15.3,62.9,66.8,58.7,23.1,20.4,26.0
2019-WA,80.7,81.5,81.1,28.5,29.2,28.9,7.8,9.3,8.5,2.2,2.7,2.5,2.2,3.6,2.8,2.0,4.2,6.4,5.0,8.0,6.4,12.6,11.7,13.6,62.2,65.8,58.6,25.1,22.5,27.8
2019-WV,68.5,73.0,70.7,41.2,40.7,40.9,12.7,13.6,13.1,4.4,4.1,4.2,4.9,7.8,6.2,5.1,8.4,11.9,10.4,13.7,11.9,23.8,23.2,24.4,49.9,54.9,44.6,26.4,22.0,31.0
2019-WI,75.0,79.9,77.4,36.1,33.1,34.5,7.0,7.8,7.3,1.9,2.5,2.2,1.5,4.3,2.8,1.5,4.2,5.7,4.0,7.6,5.7,15.4,13.6,17.2,57.8,63.1,52.4,26.8,23.4,30.4
2019-WY,77.2,75.0,76.1,29.4,31.5,30.5,6.6,6.8,6.7,2.7,2.8,2.8,2.4,3.1,2.7,2.2,4.5,6.6,5.9,7.5,6.6,18.4,17.9,18.9,57.2,60.2,54.2,24.4,21.9,26.9
