Year-State,current_overall,current_female,current_male,Never_overall,Never_female,Never_male,Former_overall,Former_female,Former_male
2017-MO,20.8,20.0,21.6,53.4,58.1,48.5,25.8,21.9,30.0
2016-MO,22.1,19.9,24.5,51.6,56.9,45.9,26.3,23.2,29.6
2015-MO,22.3,21.0,23.6,51.9,56.7,46.8,25.9,22.3,29.6
2014-MO,20.6,19.4,21.9,54.9,60.2,49.3,24.4,20.4,28.8
2013-MO,22.1,20.1,24.3,52.7,57.6,47.5,25.2,22.4,28.2
2012-MO,23.9,21.8,26.2,52.2,56.5,47.6,23.9,21.7,26.3
2011-MO,25.0,23.6,26.4,50.0,55.6,44.0,25.0,20.8,29.6
2019-MT,16.6,16.5,16.7,56.7,59.4,54.0,26.7,24.1,29.2
2018-MT,18.0,17.3,18.7,55.6,60.5,50.7,26.4,22.2,30.6
2017-MT,17.2,16.8,17.5,55.6,58.3,52.8,27.3,24.9,29.7
2016-MT,18.5,17.3,19.8,54.1,59.4,48.9,27.3,23.3,31.3
2015-MT,18.9,18.5,19.3,53.9,56.7,51.2,27.2,24.8,29.6
2014-MT,19.9,19.9,20.0,52.9,55.5,50.3,27.2,24.6,29.7
2013-MT,19.0,17.3,20.7,54.2,58.1,50.3,26.8,24.6,29.0
2012-MT,19.7,18.8,20.6,53.1,57.1,49.0,27.2,24.1,30.5
2011-MT,22.1,21.0,23.2,51.0,55.6,46.3,26.9,23.4,30.5
2019-NE,14.7,13.6,15.7,60.6,64.8,56.3,24.7,21.5,28.0
2018-NE,16.0,14.5,17.5,60.3,65.2,55.3,23.7,20.4,27.2
2017-NE,15.4,14.5,16.4,60.0,64.9,54.9,24.6,20.6,28.7
2016-NE,17.0,15.4,18.6,58.4,63.1,53.7,24.6,21.5,27.7
2015-NE,17.1,15.8,18.4,58.5,63.8,53.1,24.4,20.3,28.5
2014-NE,17.3,16.2,18.5,58.0,62.6,53.2,24.7,21.2,28.2
2013-NE,18.5,17.2,19.8,56.9,62.6,50.9,24.7,20.3,29.3
2012-NE,19.7,18.1,21.4,55.9,61.0,50.5,24.4,20.9,28.1
2011-NE,20.0,17.9,22.1,55.7,61.0,50.2,24.3,21.0,27.7
2019-NV,15.7,13.9,17.5,59.8,66.3,53.3,24.5,19.8,29.3
2018-NV,15.7,14.0,17.3,58.6,64.6,52.6,25.7,21.4,30.1
2017-NV,17.6,15.8,19.4,58.5,64.9,52.0,24.0,19.3,28.6
2016-NV,16.5,14.1,18.9,59.1,64.9,53.2,24.4,21.0,27.9
2015-NV,17.5,14.6,20.5,56.9,61.7,52.0,25.6,23.7,27.5
2014-NV,17.0,13.7,20.2,59.0,64.4,53.5,24.0,21.9,26.3
2013-NV,19.4,18.1,20.6,58.1,61.0,55.3,22.5,20.9,24.1
2012-NV,18.1,16.4,19.9,57.4,62.0,52.8,24.5,21.6,27.4
2011-NV,22.9,20.2,25.6,52.5,57.4,47.7,24.6,22.4,26.8
2019-NH,15.9,14.7,17.1,53.8,56.2,51.4,30.3,29.0,31.6
2018-NH,15.6,15.3,16.0,54.9,56.0,53.5,29.5,28.7,30.4
2017-NH,15.7,14.5,16.8,54.0,56.5,51.3,30.3,28.9,31.8
2016-NH,18.0,17.6,18.5,53.6,55.6,51.6,28.4,26.8,29.9
2015-NH,15.9,15.4,16.5,53.8,55.4,52.1,30.3,29.2,31.4
2014-NH,17.5,16.7,18.4,52.4,55.4,49.3,30.1,28.0,32.4
2013-NH,16.2,15.8,16.7,52.7,55.1,50.2,31.0,29.0,33.1
2012-NH,17.2,14.5,20.0,51.3,55.3,47.1,31.6,30.3,32.9
2011-NH,19.4,18.5,20.4,51.3,52.8,49.8,29.2,28.7,29.8
2019-NJ,,,,,,,,,
2018-NJ,13.1,11.7,14.5,63.1,67.1,58.8,23.9,21.2,26.7
2017-NJ,13.7,11.5,16.1,61.0,66.0,55.5,25.3,22.5,28.4
2016-NJ,14.0,13.1,14.9,62.3,66.4,58.0,23.7,20.6,27.1
2015-NJ,13.5,11.5,15.7,61.3,65.0,57.2,25.2,23.5,27.1
2014-NJ,15.1,12.6,17.8,60.6,64.9,56.0,24.3,22.5,26.2
2013-NJ,15.7,13.9,17.5,58.6,62.2,54.7,25.8,23.9,27.7
2012-NJ,17.3,14.6,20.3,57.2,61.9,52.1,25.5,23.5,27.7
2011-NJ,16.8,14.6,19.1,57.4,61.7,52.8,25.8,23.7,28.0
2019-NM,16.0,13.8,18.3,59.4,65.9,52.6,24.6,20.3,29.1
2018-NM,15.2,13.2,17.3,59.3,65.8,52.5,25.5,21.0,30.2
2017-NM,17.5,14.5,20.6,58.6,65.2,51.8,23.9,20.3,27.6
2016-NM,16.6,14.0,19.4,57.7,65.1,50.1,25.6,20.9,30.5
2015-NM,17.5,16.0,19.1,57.7,62.7,52.5,24.7,21.2,28.4
2014-NM,19.1,16.5,22.0,55.4,62.3,48.1,25.5,21.3,29.9
2013-NM,19.1,16.2,22.2,55.5,62.7,48.0,25.4,21.2,29.8
2012-NM,19.3,16.7,22.0,55.8,62.9,48.3,24.9,20.4,29.7
2011-NM,21.5,18.2,24.9,53.6,60.4,46.5,24.9,21.4,28.6
2019-NY,12.7,11.3,14.2,63.8,67.6,59.6,23.6,21.2,26.2
2018-NY,12.8,10.9,15.0,63.8,68.0,59.0,23.4,21.0,26.0
2017-NY,14.1,10.9,17.5,62.8,67.1,58.1,23.1,22.0,24.3
2016-NY,14.2,11.9,16.7,62.5,67.6,57.1,23.3,20.5,26.3
2015-NY,15.2,12.9,17.7,60.6,64.3,56.5,24.2,22.8,25.7
2014-NY,14.4,12.0,17.0,62.0,67.2,56.4,23.6,20.9,26.6
2013-NY,16.6,14.1,19.3,58.4,63.7,52.5,25.0,22.1,28.2
2012-NY,16.2,13.2,19.5,58.6,65.1,51.4,25.2,21.7,29.1
2011-NY,18.1,16.8,19.5,56.4,60.2,52.4,25.4,23.0,28.1
2019-NC,18.5,16.4,20.7,57.4,63.3,50.9,24.1,20.3,28.4
2018-NC,17.4,14.9,20.3,57.0,63.5,49.9,25.6,21.6,29.9
2017-NC,17.2,15.4,19.2,56.9,62.1,51.2,25.9,22.5,29.6
2016-NC,17.9,15.3,20.7,56.8,62.4,50.8,25.3,22.3,28.6
2015-NC,19.0,16.3,21.9,55.2,60.9,49.0,25.8,22.8,29.1
2014-NC,19.1,16.5,21.9,56.5,62.8,49.7,24.4,20.7,28.4
2013-NC,20.3,17.3,23.4,54.7,61.9,46.8,25.1,20.7,29.7
2012-NC,20.9,19.3,22.6,53.6,59.5,47.2,25.5,21.2,30.2
2011-NC,21.8,19.2,24.5,53.4,60.8,45.5,24.8,20.0,29.9
2019-ND,17.0,16.0,18.1,60.2,65.4,55.2,22.8,18.6,26.8
2018-ND,19.1,17.1,21.0,57.3,62.0,52.8,23.6,20.9,26.3
2017-ND,18.3,17.1,19.4,56.8,61.3,52.3,24.9,21.6,28.2
2016-ND,19.8,17.1,22.3,55.5,61.6,49.6,24.8,21.3,28.0
2015-ND,18.7,15.4,21.9,56.7,63.5,50.2,24.5,21.0,27.9
2014-ND,19.9,16.3,23.4,56.0,62.4,49.9,24.1,21.2,26.8
2013-ND,21.2,19.4,22.9,53.7,60.0,47.4,25.1,20.6,29.7
2012-ND,21.2,18.8,23.6,54.1,59.9,48.4,24.7,21.3,28.0
2011-ND,21.9,19.5,24.2,52.9,58.5,47.3,25.3,22.0,28.5
2019-OH,20.8,20.0,21.6,55.0,59.7,49.9,24.2,20.3,28.5
2018-OH,20.5,19.0,22.1,54.3,58.8,49.6,25.2,22.2,28.4
2017-OH,21.1,19.9,22.4,54.4,58.8,49.8,24.4,21.3,27.7
2016-OH,22.5,20.5,24.7,53.9,59.1,48.3,23.6,20.4,27.0
2015-OH,21.6,20.2,23.1,54.0,58.9,48.7,24.4,20.9,28.2
2014-OH,21.0,20.4,21.7,54.0,58.2,49.5,25.0,21.5,28.8
2013-OH,23.4,22.6,24.1,51.4,54.9,47.6,25.3,22.5,28.3
2012-OH,23.3,21.3,25.4,52.1,57.6,46.1,24.6,21.1,28.5
2011-OH,25.1,24.2,26.0,49.7,53.9,45.1,25.2,21.9,28.9
2019-OK,18.9,16.8,21.1,55.8,61.6,49.8,25.3,21.6,29.1
2018-OK,19.7,17.2,22.2,55.5,61.5,49.3,24.8,21.3,28.5
2017-OK,20.1,19.2,21.2,55.3,59.4,50.9,24.5,21.4,27.9
2016-OK,19.6,17.9,21.4,55.6,60.5,50.4,24.8,21.6,28.2
2015-OK,22.2,20.4,24.0,53.1,57.7,48.5,24.7,21.9,27.6
2014-OK,21.1,19.1,23.1,53.0,58.4,47.3,26.0,22.5,29.6
2013-OK,23.7,21.7,25.8,51.8,56.7,46.6,24.5,21.6,27.6
2012-OK,23.3,22.2,24.4,52.4,58.4,46.0,24.4,19.4,29.6
2011-OK,26.1,24.3,28.1,49.2,54.9,43.2,24.7,20.9,28.8
2019-OR,14.5,13.6,15.4,58.6,63.0,53.9,27.0,23.4,30.7
2018-OR,15.6,15.9,15.4,56.9,60.6,53.2,27.5,23.5,31.5
2017-OR,16.1,14.2,18.1,58.2,61.8,54.4,25.7,24.0,27.5
2016-OR,16.2,14.4,18.1,56.8,61.2,52.2,27.0,24.4,29.7
2015-OR,17.1,16.3,17.9,55.9,60.3,51.4,27.0,23.4,30.7
2014-OR,17.0,15.8,18.2,55.9,59.5,52.2,27.1,24.7,29.6
2013-OR,17.3,16.0,18.7,55.4,59.0,51.6,27.3,25.0,29.7
2012-OR,17.9,17.1,18.7,54.4,58.8,49.8,27.8,24.1,31.5
2011-OR,19.7,18.4,21.1,52.8,56.6,48.9,27.5,25.0,30.0
2019-PA,17.3,16.5,18.2,56.3,60.6,51.8,26.4,22.9,30.1
2018-PA,17.0,16.8,17.4,57.2,60.5,53.7,25.8,22.7,29.0
2017-PA,18.7,16.9,20.8,54.3,60.7,47.6,26.9,22.5,31.6
2016-PA,18.0,16.0,20.1,55.6,60.1,50.7,26.5,23.9,29.3
2015-PA,18.1,16.6,19.8,55.9,59.5,52.1,26.0,24.0,28.1
2014-PA,19.9,18.9,21.0,55.3,58.8,51.5,24.8,22.3,27.4
2013-PA,21.0,18.6,23.5,53.1,58.7,47.0,26.0,22.7,29.5
2012-PA,21.4,19.7,23.2,53.2,58.4,47.5,25.5,22.0,29.3
2011-PA,22.4,21.5,23.5,52.2,56.8,47.2,25.4,21.8,29.3
2019-RI,13.3,11.4,15.3,60.0,63.4,56.2,26.7,25.1,28.4
2018-RI,14.6,14.4,14.9,57.9,60.4,55.1,27.5,25.2,30.0
2017-RI,14.9,12.9,17.2,56.6,59.8,52.9,28.5,27.2,29.9
2016-RI,14.4,12.2,16.9,57.5,62.3,52.4,28.0,25.6,30.7
2015-RI,15.5,12.8,18.5,56.6,61.7,51.0,27.9,25.5,30.6
2014-RI,16.3,13.9,18.8,56.0,60.0,51.7,27.7,26.1,29.5
2013-RI,17.4,15.9,19.1,54.0,57.2,50.5,28.6,26.9,30.4
2012-RI,17.4,16.2,18.8,54.9,57.8,51.8,27.6,26.0,29.5
2011-RI,20.0,18.8,21.4,52.2,55.5,48.7,27.7,25.7,29.9
2019-SC,17.5,15.8,19.5,56.9,63.1,50.1,25.5,21.1,30.4
2018-SC,18.0,16.4,19.8,56.5,63.0,49.2,25.5,20.5,30.9
2017-SC,18.8,16.0,21.8,54.7,62.1,46.8,26.5,21.9,31.5
2016-SC,20.0,17.4,22.9,54.2,61.8,45.8,25.8,20.8,31.3
2015-SC,19.7,16.2,23.4,55.4,61.8,48.3,25.0,22.0,28.2
2014-SC,21.5,19.1,24.1,53.2,59.9,45.8,25.3,20.9,30.0
2013-SC,22.0,18.1,26.2,52.7,59.5,45.4,25.3,22.4,28.4
2012-SC,22.5,19.1,26.2,51.8,58.5,44.5,25.6,22.3,29.2
2011-SC,23.1,20.7,25.8,52.8,59.2,45.9,24.0,20.1,28.2
2019-SD,18.3,17.8,18.8,55.5,61.1,50.0,26.2,21.1,31.2
2018-SD,19.0,16.3,21.5,55.9,61.6,50.2,25.1,22.1,28.3
2017-SD,19.3,16.5,22.1,55.1,60.8,49.2,25.7,22.7,28.7
2016-SD,18.1,15.1,21.1,55.6,62.0,49.2,26.3,22.9,29.7
2015-SD,20.1,20.6,19.5,54.1,57.9,50.3,25.8,21.5,30.2
2014-SD,18.6,18.4,18.7,55.0,60.4,49.6,26.4,21.2,31.7
2013-SD,19.6,19.4,19.7,53.1,57.9,48.2,27.4,22.7,32.1
2012-SD,22.0,19.3,24.7,51.6,56.7,46.3,26.5,24.0,29.0
2011-SD,23.0,21.7,24.4,51.5,56.4,46.6,25.5,21.9,29.0
2019-TN,19.9,18.9,20.9,54.8,59.7,49.6,25.3,21.5,29.4
2018-TN,20.7,19.8,21.5,54.6,59.9,48.8,24.8,20.2,29.7
2017-TN,22.6,21.1,24.3,53.6,59.4,47.4,23.8,19.6,28.3
2016-TN,22.1,20.4,23.9,54.1,59.8,48.0,23.8,19.8,28.1
2015-TN,21.9,21.1,22.8,53.3,59.4,46.5,24.8,19.5,30.7
2014-TN,24.2,22.6,26.0,51.8,57.8,45.3,24.0,19.6,28.7
2013-TN,24.3,22.0,26.8,51.6,57.4,45.3,24.1,20.6,27.9
2012-TN,24.9,22.7,27.2,51.0,57.4,44.0,24.2,19.9,28.8
2011-TN,23.0,21.3,24.8,53.2,56.9,49.2,23.8,21.8,25.9
2019-TX,14.7,11.3,18.2,65.1,72.0,58.0,20.2,16.7,23.8
2018-TX,14.4,11.4,17.5,64.0,71.9,55.8,21.6,16.7,26.7
2017-TX,15.7,13.6,17.8,64.4,71.2,57.4,19.9,15.2,24.8
2016-TX,14.3,11.3,17.3,62.8,70.7,54.6,23.0,18.0,28.0
2015-TX,15.2,12.4,18.2,63.5,70.7,55.9,21.3,17.0,25.9
2014-TX,14.5,12.5,16.7,64.2,71.0,57.1,21.3,16.5,26.2
2013-TX,15.9,13.1,18.7,62.1,68.8,55.1,22.0,18.1,26.2
2012-TX,18.2,13.1,23.4,60.4,69.6,50.9,21.4,17.3,25.7
2011-TX,19.2,15.0,23.6,59.0,67.6,50.3,21.7,17.4,26.2
2019-UT,7.9,5.8,10.0,75.5,81.9,69.0,16.6,12.4,20.9
2018-UT,9.0,7.5,10.4,75.1,80.6,69.6,15.9,11.9,20.0
2017-UT,8.9,6.8,11.0,76.1,82.4,69.7,15.0,10.8,19.3
2016-UT,8.8,7.1,10.4,75.3,81.1,69.5,15.9,11.8,20.1
2015-UT,9.1,7.0,11.2,74.8,80.3,69.2,16.1,12.7,19.7
2014-UT,9.7,8.2,11.2,74.3,80.2,68.3,16.1,11.6,20.6
2013-UT,10.3,8.8,11.9,72.4,78.1,66.6,17.3,13.1,21.6
2012-UT,10.6,9.2,11.9,72.9,78.5,67.2,16.5,12.3,20.9
2011-UT,11.8,9.6,14.1,72.2,78.8,65.6,16.0,11.6,20.3
2019-VT,15.1,13.8,16.5,55.2,58.6,51.7,29.6,27.6,31.8
2018-VT,13.7,12.7,14.7,56.0,60.0,51.9,30.3,27.3,33.4
2017-VT,15.8,14.7,17.0,54.7,57.9,51.3,29.5,27.4,31.7
2016-VT,17.0,14.7,19.5,54.3,59.2,49.1,28.7,26.1,31.4
2015-VT,16.0,14.0,18.0,55.1,59.3,50.6,29.0,26.6,31.4
2014-VT,16.4,15.0,17.8,52.5,55.4,49.5,31.1,29.6,32.6
2013-VT,16.6,15.4,17.9,53.5,55.9,51.0,29.9,28.7,31.1
2012-VT,16.5,14.8,18.2,52.8,56.2,49.1,30.8,29.0,32.6
2011-VT,19.1,16.5,21.8,50.1,53.8,46.3,30.8,29.7,31.9
2019-VA,14.0,12.8,15.3,62.9,66.8,58.7,23.1,20.4,26.0
2018-VA,14.9,12.7,17.3,62.3,67.1,57.1,22.8,20.2,25.6
2017-VA,16.4,14.4,18.4,59.9,65.3,54.2,23.7,20.3,27.4
2016-VA,15.3,13.7,17.0,60.8,65.1,56.3,23.9,21.2,26.7
2015-VA,16.5,14.4,18.8,59.8,65.6,53.7,23.6,20.0,27.5
2014-VA,19.5,16.6,22.6,57.3,62.6,51.5,23.2,20.7,25.9
2013-VA,19.0,16.7,21.6,57.2,62.8,51.2,23.8,20.6,27.2
2012-VA,19.0,16.6,21.6,57.2,62.7,51.4,23.8,20.8,27.0
2011-VA,20.9,20.5,21.3,55.5,58.8,52.0,23.6,20.7,26.7
2019-WA,12.6,11.7,13.6,62.2,65.8,58.6,25.1,22.5,27.8
2018-WA,12.0,10.6,13.5,62.0,66.6,57.2,26.0,22.8,29.3
2017-WA,13.5,12.2,14.8,59.3,63.0,55.6,27.2,24.8,29.6
2016-WA,13.9,11.9,16.0,59.3,64.6,54.0,26.7,23.4,30.0
2015-WA,15.0,13.4,16.6,58.7,63.4,53.9,26.3,23.2,29.5
2014-WA,15.3,13.8,16.9,58.3,62.3,54.2,26.4,23.9,28.9
2013-WA,16.1,14.3,17.8,57.6,62.2,52.9,26.4,23.5,29.3
2012-WA,17.2,15.7,18.7,56.3,60.8,51.6,26.6,23.5,29.7
2011-WA,17.5,16.2,18.8,56.5,61.1,51.8,26.0,22.7,29.4
2019-WV,23.8,23.2,24.4,49.9,54.9,44.6,26.4,22.0,31.0
2018-WV,25.2,24.8,25.7,50.6,55.4,45.5,24.2,19.8,28.8
2017-WV,26.0,26.9,25.1,47.8,51.3,44.1,26.2,21.8,30.8
2016-WV,24.8,23.9,25.8,48.9,54.0,43.6,26.3,22.1,30.7
2015-WV,25.7,25.7,25.7,49.4,54.9,43.7,24.9,19.5,30.5
2014-WV,26.7,25.6,27.8,46.6,51.8,41.1,26.8,22.6,31.1
2013-WV,27.3,26.1,28.6,48.4,53.8,42.8,24.3,20.1,28.6
2012-WV,28.2,27.6,28.7,46.5,51.8,41.0,25.3,20.6,30.3
2011-WV,28.6,25.9,31.5,47.9,54.9,40.4,23.5,19.2,28.1
2019-WI,15.4,13.6,17.2,57.8,63.1,52.4,26.8,23.4,30.4
2018-WI,16.4,14.6,18.2,57.3,62.0,52.5,26.3,23.4,29.3
2017-WI,16.0,15.0,17.1,58.4,62.0,54.6,25.6,23.0,28.3
2016-WI,17.1,16.2,18.0,55.4,58.8,52.0,27.5,25.1,30.0
2015-WI,17.3,14.9,19.8,56.4,61.4,51.4,26.2,23.7,28.8
2014-WI,17.4,16.1,18.7,56.3,60.6,51.9,26.3,23.3,29.4
2013-WI,18.7,17.3,20.1,54.4,58.9,49.8,26.9,23.8,30.1
2012-WI,20.4,19.5,21.3,52.7,56.3,48.8,27.0,24.2,29.8
2011-WI,20.9,19.1,22.7,52.9,58.2,47.5,26.2,22.7,29.8
2019-WY,18.4,17.9,18.9,57.2,60.2,54.2,24.4,21.9,26.9
2018-WY,18.8,17.6,19.9,54.9,60.2,49.8,26.3,22.1,30.3
2017-WY,18.7,18.4,19.0,55.3,59.2,51.6,26.0,22.5,29.3
2016-WY,18.9,19.1,18.8,54.9,58.2,51.8,26.1,22.7,29.5
2015-WY,19.1,17.5,20.6,56.5,59.5,53.6,24.4,22.9,25.9
2014-WY,19.5,18.2,20.7,55.9,59.1,52.9,24.6,22.7,26.4
2013-WY,20.6,19.2,22.1,52.8,58.0,47.6,26.6,22.8,30.3
2012-WY,21.8,18.9,24.6,53.6,60.2,47.1,24.7,20.9,28.3
2011-WY,23.0,21.8,24.2,50.8,55.6,46.2,26.2,22.6,29.6
